Segment_ID,Curvature_Type,RX_Horizontal_Sum,LX_Horizontal_Sum,RX_Vertical_Sum,LX_Vertical_Sum
Straight_390,Straight,25.939999999999998,1.1300000000000001,-26.919999999999998,-40.87
Straight_391,Straight,4.0200000000000005,1.14,-19.08,-19.709999999999997
Straight_392,Straight,-1.5699999999999998,1.82,-17.23,-16.020000000000003
Right_393,Right,-0.18,0.22000000000000003,-6.29,-5.07
Right_394,Right,2.75,-0.05999999999999997,-19.04,-18.86
Right_395,Right,16.599999999999998,0.31999999999999995,-28.229999999999997,-44.13
Straight_396,Straight,22.83,0.69,-36.54,-59.010000000000005
Straight_397,Straight,26.400000000000002,1.5000000000000002,-39.82000000000001,-39.5
Straight_398,Straight,25.78,0.86,-26.92,-59.34
Left_399,Left,13.09,0.41999999999999993,-31.5,-37.559999999999995
Left_400,Left,-0.47,6.45,-11.59,-11.65
